city,county
Gwyddelwern,Denbighshire
Saint Veep,Cornwall
Box,Wiltshire
Fosdyke,Lincolnshire
Gweek,Cornwall
Ellon,Aberdeenshire
North Shields,North Tyneside
Ambleside,Cumbria
Cefn-y-pant,Carmarthenshire
Blyford,Suffolk
Knettishall,Suffolk
Scawby,North Lincolnshire
Killunaig,Argyll and Bute
Coombe Bissett,Wiltshire
Casterton,Rutland
Seamill,North Ayrshire
Long Stowe,Cambridgeshire
Ashford Carbonell,Shropshire
Kingsdon,Somerset
Olveston,South Gloucestershire
Barrow,Suffolk
Langford,Central Bedfordshire
Kilham,East Riding of Yorkshire
Halton Gill,North Yorkshire
Dougarie,North Ayrshire
Maddan,"Armagh, Banbridge and Craigavon"
Trimdon Grange,Durham
Harby,Leicestershire
Girthon,Dumfries and Galloway
East Tuddenham,Norfolk
Barrhead,East Renfrewshire
Pontrhydyfen,Neath Port Talbot
Pawlett,Somerset
Christmas Common,Oxfordshire
Kirton in Lindsey,North Lincolnshire
Staunton on Wye,Herefordshire
Northallerton,North Yorkshire
Hawton,Nottinghamshire
Welcombe,Devon
Colemere,Shropshire
Inveralligin,Highland
Kirn,Argyll and Bute
Condicote,Gloucestershire
Eoropie,Eilean Siar
Blackford,Perth and Kinross
Mark,Dumfries and Galloway
Oldbury,Warwickshire
Monxton,Hampshire
Shirwell,Devon
Little Strickland,Cumbria
Corsenside,Northumberland
Kingcoed,Monmouthshire
West Marton,North Yorkshire
Inverbervie,Aberdeenshire
Huntsham,Devon
Warlingham,Surrey
Thornfalcon,Somerset
Colchester,Essex
Sourton,Devon
Birch,Essex
East Croachy,Highland
Aldie,Aberdeenshire
Dolgran,Carmarthenshire
Chandlers Ford,Hampshire
East Winch,Norfolk
Lochbuie,Argyll and Bute
Creeton,Lincolnshire
Lisrodden,Mid and East Antrim
West Linton,"Scottish Borders, The"
Bradford-on-Avon,Wiltshire
Finnart,Perth and Kinross
Bucknell,Shropshire
Laurencekirk,Aberdeenshire
Falmer,East Sussex
Brettell Lane,Dudley
Troutbeck,Cumbria
Adforton,Herefordshire
Blackmill,Aberdeenshire
Stainby,Lincolnshire
Talland,Cornwall
Hawthorn,Durham
Netherbury,Dorset
North Nibley,Gloucestershire
Milton of Abercairny,Perth and Kinross
Warkleigh,Devon
Chipping Campden,Gloucestershire
Bridgham,Norfolk
Thelbridge,Devon
Ockle,Highland
Grimston,Leicestershire
Thwaite,North Yorkshire
Bodfean,Gwynedd
Pilsdon,Dorset
Woonton,Herefordshire
Watchfield,Oxfordshire
Pyworthy,Devon
Friskney,Lincolnshire
Trantlebeg,Highland
Middlezoy,Somerset
Great Shefford,West Berkshire
Marhamchurch,Cornwall
Pen-y-cae,Wrexham
Lisnarrick,Fermanagh and Omagh
Meole Brace,Shropshire
Tanfield,Durham
Butterwick,Lincolnshire
Manton,Rutland
Arbirlot,Angus
Wootton,Isle of Wight
Warboys,Cambridgeshire
East Marton,North Yorkshire
Easthope,Shropshire
Kingarth,Argyll and Bute
Deanshanger,Northamptonshire
Ayot Saint Lawrence,Hertfordshire
Semington,Wiltshire
Wendron,Cornwall
Jemimaville,Highland
Worlington,Suffolk
Old Brampton,Derbyshire
Crick,Northamptonshire
Ashfield,"Armagh, Banbridge and Craigavon"
Gamrie,Aberdeenshire
Spexhall,Suffolk
Balranald,Eilean Siar
Stockton-on-Tees,Stockton-on-Tees
Sudbury,Suffolk
Llangadock,Carmarthenshire
Newton-le-Willows,St. Helens
Wonersh,Surrey
Austwick,North Yorkshire
Epsom,Surrey
Alderley Edge,Cheshire East
Llechryd,Pembrokeshire
Crosskeys,Caerphilly
Bailleston,Glasgow City
Ravenscar,North Yorkshire
Hopesay,Shropshire
Carisbrooke,Isle of Wight
Hythe,Kent
Barrowden,Rutland
Lawford,Essex
Mariansleigh,Devon
Ince-in-Makerfield,Wigan
Greenhill,Kent
Neaton,Norfolk
Broadmeadows,"Scottish Borders, The"
Hunworth,Norfolk
Dell,Eilean Siar
Teangue,Highland
Cowdenbeath,Fife
Breage,Cornwall
Laceby,North East Lincolnshire
Willington,Durham
Zeals,Wiltshire
Castle Frome,Herefordshire
Stockton,Herefordshire
Hexham,Northumberland
Kilwinning,North Ayrshire
Fingask,Aberdeenshire
Branxton,Northumberland
Stretford,Trafford
Woking,Surrey
Tendring,Oxfordshire
Wattisham,Suffolk
Copley,Durham
Coton,Cambridgeshire
Easingwold,North Yorkshire
Saint Bridget Beckermet,Cumbria
Thundridge,Hertfordshire
Penybont,Powys
Weeton,North Yorkshire
Wootton Rivers,Wiltshire
Great Creaton,Northamptonshire
Bishops Court,"Newry, Mourne and Down"
Easter Rarichie,Highland
Carburton,Nottinghamshire
Fochriw,Caerphilly
Berwick Saint James,Wiltshire
Theale,Somerset
Ault Hucknall,Derbyshire
Gilgarran,Cumbria
Romsey,Hampshire
Coldwaltham,West Sussex
Bradford,Bradford
Nynehead,Somerset
Bolton upon Swale,North Yorkshire
Georth,Orkney Islands
Byton,Herefordshire
Greatford,Lincolnshire
Weston Corbett,Hampshire
Stepps,North Lanarkshire
Fakenham,Norfolk
Molash,Kent
Eldroth,North Yorkshire
West Woodburn,Northumberland
Lydham,Shropshire
Toppesfield,Essex
Portadown,"Armagh, Banbridge and Craigavon"
Wyton,East Riding of Yorkshire
Kilbarchan,Renfrewshire
Newick,East Sussex
Llanfallteg West,Pembrokeshire
Llanystumdwy,Gwynedd
Carstairs,South Lanarkshire
Walkeringham,Nottinghamshire
Long Bennington,Lincolnshire
High Coniscliffe,Darlington
Wrockwardine,Telford and Wrekin
Wrotham,Kent
Crigglestone,Wakefield
Winterbourne Monkton,Wiltshire
Saint Mary Cray,Bromley
Fulmer,Buckinghamshire
Kingsbourne Green,Hertfordshire
Llandogo,Monmouthshire
Boxford,Suffolk
Greenhaugh,Northumberland
Weare,Somerset
Snowshill,Gloucestershire
Halwell,Devon
Llanymynech,Powys
Atlow,Derbyshire
Nafferton,East Riding of Yorkshire
Coll,Eilean Siar
Stony Middleton,Derbyshire
New Scone,Perth and Kinross
Lochcarron,Highland
Ireton Wood,Derbyshire
Stromeferry,Highland
Moulton,North Yorkshire
Toome,Antrim and Newtownabbey
Compton Dundon,Somerset
Thornton,East Riding of Yorkshire
Middleton,Suffolk
Knockaird,Eilean Siar
Ballyronan,Mid Ulster
Hallin,Highland
Haworth,Bradford
Barrington,Somerset
Long Itchington,Warwickshire
Ashmore,Dorset
Shotteswell,Warwickshire
Little Bredy,Dorset
Camborne,Cornwall
Preston,East Riding of Yorkshire
East Butterwick,North Lincolnshire
Chatburn,Lancashire
Peopleton,Worcestershire
Fulbeck,Lincolnshire
Pentre-bach,Powys
Northbourne,Kent
Kings Langley,Hertfordshire
Pitt,Hampshire
Merton,Devon
Durisdeer,Dumfries and Galloway
Salford,Oxfordshire
Davenham,Cheshire West and Chester
Finchingfield,Essex
Weston,Shropshire
Cathcart,Glasgow City
New Malden,Kingston upon Thames
Colwell,Northumberland
High Ham,Somerset
Runswick,North Yorkshire
Upper Killay,Swansea
Elton,Derbyshire
Ashton,Cheshire West and Chester
Llandegley,Powys
Bloxwich,Walsall
Wavehorne,Kent
Shenstone,Staffordshire
Hawkshead,Cumbria
Stowell,Somerset
Low Etherley,Durham
Scole,Norfolk
Compton Bassett,Wiltshire
Big Sand,Highland
Wallington,Hampshire
Linslade,Central Bedfordshire
Mamble,Worcestershire
Nether Worton,Oxfordshire
Legsby,Lincolnshire
Colerne,Wiltshire
Beal,Northumberland
Boddam,Aberdeenshire
Osmotherley,North Yorkshire
Llwyngwril,Gwynedd
Saint Blazey,Cornwall
Rawtenstall,Lancashire
Little Salkeld,Cumbria
Watton,East Riding of Yorkshire
Dumfries,Dumfries and Galloway
Upton,Nottinghamshire
Llanfairpwllgwyngyll,Isle of Anglesey
Woodlesford,Leeds
Chislehampton,Oxfordshire
Emneth,Norfolk
Melness,Highland
Contin,Highland
Lathbury,Milton Keynes
Boreland,Dumfries and Galloway
Plaitford,Hampshire
Bramshall,Staffordshire
Errol,Perth and Kinross
Gumley,Leicestershire
Leighton Bromswold,Cambridgeshire
Prees,Shropshire
Pwllcrochan,Pembrokeshire
Leeming Bar,North Yorkshire
Blatherwycke,Northamptonshire
Sedgefield,Durham
Easton,Cambridgeshire
Swingfield,Kent
Southend,Southend-on-Sea
Bradley,Staffordshire
Minera,Wrexham
Whitgreave,Staffordshire
Hilton,Shropshire
Highworth,Swindon
Kilmory,Highland
Sliddery,North Ayrshire
Wootton Fitzpaine,Dorset
Middle Winterslow,Wiltshire
Reston,"Scottish Borders, The"
Low Ham,Somerset
Low Borrowbridge,Cumbria
Reay,Highland
Patney,Wiltshire
Brinkley,Cambridgeshire
Alwinton,Northumberland
Harberton,Devon
Dickleburgh,Norfolk
Brothertoft,Lincolnshire
Glynneath,Neath Port Talbot
Glasson,Lancashire
Backford,Cheshire West and Chester
Plockton,Highland
Treherbert,Rhondda Cynon Taff
Balavil,Highland
South Marston,Swindon
Kilnsea,East Riding of Yorkshire
Stoke Bliss,Worcestershire
Wheathampstead,Hertfordshire
Hanbury,Staffordshire
Straiton,South Ayrshire
Rishworth,Calderdale
Jamestown,Highland
Margate,Kent
Geddington,Northamptonshire
Darenth,Kent
Drefach,Carmarthenshire
Coffinswell,Devon
Saint Florence,Pembrokeshire
Haynes,Central Bedfordshire
Bridestowe,Devon
Shepton Mallet,Somerset
Barton,Lancashire
Rocester,Staffordshire
Butterton,Staffordshire
High Halstow,Medway
Earlish,Highland
Tamlaght,Mid Ulster
Aberfoyle,Stirling
Rogart,Highland
Leckford,Hampshire
Swalwell,Gateshead
Bridge of Gairn,Aberdeenshire
Old Boston,St. Helens
Acton Burnell,Shropshire
Tyndrum,Stirling
Elm,Cambridgeshire
Morecombelake,Dorset
Wilby,Suffolk
Oakley,Hampshire
Timble,North Yorkshire
Peterculter,Aberdeen City
Axbridge,Somerset
Four Crosses,Powys
Dacre,North Yorkshire
Thorganby,North Yorkshire
Swinhope,Lincolnshire
Four Marks,Hampshire
Mitcheldean,Gloucestershire
Tibenham,Norfolk
Market Hill,"Armagh, Banbridge and Craigavon"
Battlesbridge,Essex
Bicker,Lincolnshire
Rosscor,Fermanagh and Omagh
Lledrod,Ceredigion
High Hutton,North Yorkshire
Bramhope,Leeds
Wangford,Suffolk
Beaminster,Dorset
Irchester,Northamptonshire
Little Habton,North Yorkshire
Struell,"Newry, Mourne and Down"
Keysoe,Bedford
Kersey,Suffolk
Wissett,Suffolk
Barnt Green,Worcestershire
Kingsmill,Mid Ulster
Petertavy,Devon
Maltby le Marsh,Lincolnshire
Garnant,Carmarthenshire
Ickburgh,Norfolk
Bridekirk,Cumbria
Staple Fitzpaine,Somerset
Waterside,East Ayrshire
Abersoch,Gwynedd
Purfleet,Thurrock
Over,Cheshire West and Chester
Greenfield,Highland
Methwold,Norfolk
Crowle,Worcestershire
Llanfyllin,Powys
Embo,Highland
Buttermere,Wiltshire
Minnigaff,Dumfries and Galloway
Dagenham,Barking and Dagenham
Henfield,West Sussex
Key Street,Kent
Tongham,Surrey
South Cave,East Riding of Yorkshire
Hampnett,Gloucestershire
Abernant,Rhondda Cynon Taff
Burntwood,Staffordshire
Burgh by Sands,Cumbria
Kingswood,Gloucestershire
Kilmington,Devon
Lower Brailes,Warwickshire
South Charlton,Northumberland
Thurloxton,Somerset
Glenelg,Highland
Drumnadrochit,Highland
Marston,Oxfordshire
Acomb,York
Barnston,Essex
Grimstone,Dorset
Glynde,East Sussex
Faskadale,Highland
Calke,Leicestershire
Vatisker,Eilean Siar
Windley,Derbyshire
Kinnersley,Telford and Wrekin
Scamodale,Highland
Harlow,Essex
Selsey,West Sussex
Wenhaston,Suffolk
Lidgate,Suffolk
Dry Drayton,Cambridgeshire
Ulcombe,Kent
Windermere,Cumbria
Sawston,Cambridgeshire
Tydd Saint Giles,Cambridgeshire
Swinford,Leicestershire
Hapton,Lancashire
Stechford,Birmingham
Moorthorpe,Wakefield
Sheepy,Leicestershire
Strensall,York
Great Missenden,Buckinghamshire
Bredbury,Stockport
Pipe Ridware,Staffordshire
Saint Winnow,Cornwall
East Harling,Norfolk
Linby,Nottinghamshire
Teignmouth,Devon
Llangeinor,Bridgend
Durley,Hampshire
North Weald,Essex
Calverton,Milton Keynes
Linkinhorne,Cornwall
Docking,Norfolk
Cour,Argyll and Bute
Jacobstow,Cornwall
Smeeth,Kent
Waskerley,Durham
Jedburgh,"Scottish Borders, The"
Plumpton,East Sussex
Ugthorpe,North Yorkshire
Goring by Sea,West Sussex
Broseley,Shropshire
Farndon,Cheshire West and Chester
Fownhope,Herefordshire
Mardale,Cumbria
Colton,Staffordshire
Staffin,Highland
Docklow,Herefordshire
Bobbingworth,Essex
Feeny,Causeway Coast and Glens
Jarrow,South Tyneside
Polruan,Cornwall
Kirkintilloch,East Dunbartonshire
Dalnahaitnach,Highland
Ashwell,Rutland
Leswalt,Dumfries and Galloway
Adlestrop,Gloucestershire
Westgate,Durham
Ashurst,West Sussex
Llangenny,Powys
Garelochhead,Argyll and Bute
Poynton,Cheshire East
Yeadon,Leeds
Toddington,Gloucestershire
Inver,Highland
Emley,Kirklees
Acton Turville,South Gloucestershire
Ardwell,Moray
Foyers,Highland
Blackburn,West Lothian
Grove Ferry,Kent
Kinvere,Staffordshire
Sutton,Norfolk
Pilton,Northamptonshire
Langford,Norfolk
Witney,Oxfordshire
Colney Heath,Hertfordshire
Ecclefechan,Dumfries and Galloway
Shanklin,Isle of Wight
Aughnacloy,Mid Ulster
Aberdyfi,Gwynedd
Barrnacarry,Argyll and Bute
Colbost,Highland
Salmonby,Lincolnshire
Balham,Wandsworth
Camberwell,Southwark
Annaclone,"Armagh, Banbridge and Craigavon"
Stetchworth,Cambridgeshire
Granton,"Edinburgh, City of"
Hamilton,South Lanarkshire
Stock,Essex
Salterforth,Lancashire
Cardenden,Fife
Bronllys,Powys
Cotterdale,North Yorkshire
Guthrie,Angus
Willoughby on the Wolds,Leicestershire
Crossgar,"Newry, Mourne and Down"
Fernhill Heath,Worcestershire
Polton,Midlothian
Lodsworth,West Sussex
Winkleigh,Devon
Pumpsaint,Carmarthenshire
Holbeach Clough,Lincolnshire
Bwlchnewydd,Carmarthenshire
Kenfig,Bridgend
Llanbrynmair,Powys
Kirkcolm,Dumfries and Galloway
Gransha,Mid and East Antrim
Wethersfield,Essex
Shelton,Norfolk
Weston Underwood,Milton Keynes
Kirkhill of Kennethmont,Aberdeenshire
Millington,East Riding of Yorkshire
Lochmaddy,Eilean Siar
Duns,"Scottish Borders, The"
Otterham,Cornwall
Wroot,North Lincolnshire
Llangwyryfon,Ceredigion
Dorking,Surrey
Edenham,Lincolnshire
Gayton Thorpe,Norfolk
Gilling,North Yorkshire
Haughton,Staffordshire
Ruddington,Nottinghamshire
Bromlow,Shropshire
Mundon,Essex
Winchelsea,East Sussex
Cardross,Argyll and Bute
Cleobury North,Shropshire
Newcastle Emlyn,Carmarthenshire
Bayford,Hertfordshire
Anstruther,Fife
Treuddyn,Flintshire
Mitchell,Cornwall
Byrness,Northumberland
Dalziel,North Lanarkshire
Wedmore,Somerset
Kenmore,Argyll and Bute
Foxham,Wiltshire
Etchingham,East Sussex
New Galloway,Dumfries and Galloway
Highgate,Camden
Llancynfelyn,Ceredigion
Berwick Bassett,Wiltshire
Barford Saint John,Oxfordshire
East Worldham,Hampshire
Wythburn,Cumbria
Llandysilio,Powys
Fairgirth,Dumfries and Galloway
Torver,Cumbria
Llandefalle,Powys
Stilton,Cambridgeshire
Longford,Derbyshire
Banks,Lancashire
Steeple Ashton,Wiltshire
Sedbergh,Cumbria
Portavogie,Ards and North Down
Markyate,Hertfordshire
Nettleham,Lincolnshire
Stixwould,Lincolnshire
Denby Dale,Kirklees
Margam,Neath Port Talbot
Crook of Devon,Perth and Kinross
Ardglass,"Newry, Mourne and Down"
Kinloch,Highland
Astley Abbots,Shropshire
Long Riston,East Riding of Yorkshire
Tanygrisiau,Gwynedd
Chellaston,Derbyshire
Ocle Pychard,Herefordshire
New Boston,St. Helens
Kilgetty,Pembrokeshire
Johnston,Pembrokeshire
Ewhurst,Surrey
Stockport,Stockport
Aylesbury,Buckinghamshire
Oathlaw,Angus
Cowpen,Northumberland
Tottenham,Haringey
Otterden,Kent
Chattisham,Suffolk
Saunderton,Buckinghamshire
Kirkton of Auchterhouse,Angus
Powfoot,Dumfries and Galloway
Newton Saint Petrock,Devon
Easter Quarff,Shetland Islands
Llanllawddog,Carmarthenshire
Shaw,Oldham
Meadowtown,Shropshire
New Bolingbroke,Lincolnshire
Morebath,Devon
High Legh,Cheshire East
Usworth,Sunderland
Appleshaw,Hampshire
West Mersea,Essex
Bradfield,Essex
Gayton,Norfolk
Achnastank,Moray
Seasalter,Kent
Whitton,Suffolk
Bo'ness,Falkirk
Trescott,Staffordshire
Teversal,Nottinghamshire
Silverstone,Northamptonshire
Ashbourne,Derbyshire
Barnack,Peterborough
Hedsor,Buckinghamshire
Little Wigborough,Essex
Headley,Hampshire
Knockan,Highland
Crackleybank,Shropshire
Milltown,"Armagh, Banbridge and Craigavon"
Yerbeston,Pembrokeshire
Denstone,Staffordshire
Knockando,Moray
Altham,Lancashire
Hassop,Derbyshire
Alltbeath,Highland
Brigsley,North East Lincolnshire
Ridingmill,Northumberland
Carnan,Eilean Siar
Maryhill,Glasgow City
Diptford,Devon
Thorpe Salvin,Rotherham
Greshornish,Highland
Cherry Burton,East Riding of Yorkshire
Wellington,Telford and Wrekin
Winmarleigh,Lancashire
Mowsley,Leicestershire
Bourton on the Water,Gloucestershire
West Wycombe,Buckinghamshire
Tomatin,Highland
Clydey,Pembrokeshire
Michaelchurch Escley,Herefordshire
Dunlop,East Ayrshire
Foulden,Norfolk
Ludlow,Shropshire
Greenland,Highland
Fullerton,Hampshire
Cayton,North Yorkshire
Cleobury Mortimer,Shropshire
Layer de la Haye,Essex
Sotby,Lincolnshire
West Prawle,Devon
Craigie,South Ayrshire
Mollinburn,North Lanarkshire
Llanreithan,Pembrokeshire
Fringford,Oxfordshire
Rose Ash,Devon
Elerch,Ceredigion
Pittodrie,Aberdeenshire
Haswell,Durham
Hatford,Oxfordshire
Glenreasdell,Argyll and Bute
Alburgh,Norfolk
Church Fenton,North Yorkshire
Stoke Climsland,Cornwall
Pilton,Somerset
Somerton,Norfolk
West Dean,West Sussex
Roos,East Riding of Yorkshire
Burren,"Newry, Mourne and Down"
Hawkley,Hampshire
Douglas,South Lanarkshire
Spaxton,Somerset
Cliburn,Cumbria
Frongoch,Gwynedd
Ringmer,East Sussex
Pitsea,Essex
Longstreet,Wiltshire
Birtley,Northumberland
Great Langton,North Yorkshire
Skaill,Highland
Llanteg,Pembrokeshire
Essendine,Rutland
Studland,Dorset
Gilnahirk,Lisburn and Castlereagh
Balsham,Cambridgeshire
Lillingstone Dayrell,Buckinghamshire
Melmerby,Cumbria
Brongwyn,Ceredigion
Gyrngoch,Gwynedd
Meikle Forter,Angus
Rhydyfelin,Ceredigion
Clovullin,Highland
Wooton Saint Lawrence,Hampshire
Holme,Nottinghamshire
Upton Noble,Somerset
Trawsfynydd,Gwynedd
Bettws-y-coed,Conwy
Hundleton,Pembrokeshire
Totnes,Devon
Comers,Aberdeenshire
Dipton,Durham
Aberffraw,Isle of Anglesey
West Ashton,Wiltshire
Nelson,Lancashire
Tongland,Dumfries and Galloway
Lilbourne,Warwickshire
Marholm,Peterborough
Woodham,Durham
Bedlington,Northumberland
Winthorpe,Nottinghamshire
Fairlight,East Sussex
Alderley Park,Cheshire East
Sarratt,Hertfordshire
Blythebridge,Staffordshire
Wray,Lancashire
Hinton Charterhouse,Bath and North East Somerset
Yarburgh,Lincolnshire
Totternhoe,Central Bedfordshire
Cleveleys,Blackpool
Poringland,Norfolk
Kirktown of Auchterless,Aberdeenshire
Richmond,North Yorkshire
Wylam,Northumberland
Tufton,Hampshire
Campsall,Doncaster
Ayton,"Scottish Borders, The"
Kilchrenan,Argyll and Bute
Guyhirn,Cambridgeshire
Lower Shelton,Central Bedfordshire
Thornton Dale,North Yorkshire
Inkberrow,Worcestershire
Saint Mawes,Cornwall
Oakington,Cambridgeshire
Birdlip,Gloucestershire
Leeds,Leeds
Bolton le Sands,Lancashire
Bracknell,Bracknell Forest
Charlemont,"Armagh, Banbridge and Craigavon"
Innerleithen,"Scottish Borders, The"
Ireleth,Cumbria
Maerdy,Rhondda Cynon Taff
Rubery,Birmingham
Bulkington,Wiltshire
Ramsden,Oxfordshire
Shelton,Nottinghamshire
Wormshill,Kent
Kilry,Angus
Chew Magna,Bath and North East Somerset
Potterne,Wiltshire
Wood Dalling,Norfolk
North Cobbinshaw,West Lothian
Ringstead,Dorset
Tidenham,Gloucestershire
Llanberis,Gwynedd
Quadring,Lincolnshire
Aldington,Kent
Hardham,West Sussex
Allesley,Coventry
Bishops Castle,Shropshire
Sawley,Lancashire
Bledington,Oxfordshire
Penmaen,Swansea
Blackmill,Bridgend
Leafield,Oxfordshire
Mangotsfield,South Gloucestershire
Bracky,Fermanagh and Omagh
Velindre-farchog,Pembrokeshire
Bottwnog,Gwynedd
Clunes,Highland
Feltwell,Norfolk
Rosehall,Highland
Lurgan,"Armagh, Banbridge and Craigavon"
Sampford Courtenay,Devon
Ardnastang,Highland
Raskelf,North Yorkshire
Valtos,Eilean Siar
Kingston upon Hull,"Kingston upon Hull, City of"
Outhgill,Cumbria
Strixton,Northamptonshire
Penzance,Cornwall
Elrington,Northumberland
Partney,Lincolnshire
Thorncombe,Dorset
Oxford,Oxfordshire
Frampton,Lincolnshire
How,Cumbria
Kemsing,Kent
Annahilt,Lisburn and Castlereagh
Marldon,Devon
Meriden,Solihull
Warbstow,Cornwall
Duffryn,Neath Port Talbot
Claybrooke Magna,Leicestershire
Torworth,Nottinghamshire
Wolf's Castle,Pembrokeshire
Oaksey,Wiltshire
Elmsted,Kent
Debach,Suffolk
Strata Florida,Ceredigion
Lubenham,Leicestershire
Murton,Durham
Thirkleby,North Yorkshire
West Dereham,Norfolk
Belmont,Shetland Islands
Grandborough,Buckinghamshire
Llwynypia,Rhondda Cynon Taff
Lees,Oldham
Bleadon,North Somerset
Brixton,Lambeth
Calvo,Cumbria
Dullaghan,Fermanagh and Omagh
Hopeman,Moray
Bishopton,Renfrewshire
Tunworth,Hampshire
Sanquhar,Dumfries and Galloway
Kincardine O'Neil,Aberdeenshire
Pont-Tyweli,Ceredigion
Skelmersdale,Lancashire
Ballynahinch,"Newry, Mourne and Down"
Beaumont,Cumbria
Cross,Eilean Siar
Surfleet,Lincolnshire
Longhope,Gloucestershire
Throckley,Newcastle upon Tyne
Llanarthney,Carmarthenshire
Thruxton,Hampshire
Mickfield,Suffolk
Cornsay,Durham
Ash Priors,Somerset
Olney,Milton Keynes
Sleaford,Lincolnshire
Twitchen,Devon
Stourton Caundle,Dorset
South Elmsall,Wakefield
Compton,Dorset
Kilvington,Nottinghamshire
Chadlington,Oxfordshire
Longham,Norfolk
Coltishall,Norfolk
Bradfield,West Berkshire
Londesborough,East Riding of Yorkshire
Great Staughton,Cambridgeshire
Sibbertoft,Northamptonshire
Crewkerne,Somerset
Christchurch,Dorset
Warmsworth,Doncaster
Castleton,Rochdale
Hurliness,Orkney Islands
Little Horsted,East Sussex
Toynton Saint Peter,Lincolnshire
Wacton,Herefordshire
Foy,Herefordshire
Colva,Powys
Millbrook,Tameside
Temple Hirst,North Yorkshire
Holne,Devon
Theale,West Berkshire
Gamblesby,Cumbria
New Tredegar,Caerphilly
Llanfihangel-nant-Melan,Powys
Lower Winchendon,Buckinghamshire
Holbrook,Suffolk
Whitehouse Upper,Belfast
Sharpness,Gloucestershire
Rudby,North Yorkshire
Easton,Suffolk
Nicholaston,Swansea
Quorndon,Leicestershire
Balerno,"Edinburgh, City of"
Mordiford,Herefordshire
Great Brickhill,Buckinghamshire
Chollerford,Northumberland
South Crossaig,Argyll and Bute
Lingfield,Surrey
Epworth,North Lincolnshire
Shinfield,Wokingham
Middle Mill,Pembrokeshire
Shiel Bridge,Highland
Chipperfield,Hertfordshire
Armitage,Staffordshire
Scotton,Lincolnshire
Great Chatwell,Staffordshire
Kempsford,Gloucestershire
Highweek,Devon
Branscombe,Devon
Woodcote,Telford and Wrekin
Talnotry,Dumfries and Galloway
Torton,Worcestershire
Stoke,Cheshire West and Chester
Packwood,Warwickshire
Atherstone,Warwickshire
Penarth,"Vale of Glamorgan, The"
Rodmarton,Gloucestershire
Compton,Surrey
Northlew,Devon
Wembdon,Somerset
Finchampstead,Bracknell Forest
Saint Columb Major,Cornwall
Eastchurch,Kent
Ballykelly,Causeway Coast and Glens
Petham,Kent
Sileby,Leicestershire
Charlton Kings,Gloucestershire
Marton,Middlesbrough
Rievaulx,North Yorkshire
Welton le Wold,Lincolnshire
Symington,South Ayrshire
Huntington,Powys
Fawley,Buckinghamshire
Caister-on-Sea,Norfolk
Knapton,Norfolk
Achnasheen,Highland
Hermon,Carmarthenshire
Amersham,Buckinghamshire
Bubbenhall,Warwickshire
Drax,North Yorkshire
Paston,Peterborough
Heckfield,Hampshire
Winfrith Newburgh,Dorset
Burley,Rutland
Tarbert,Eilean Siar
Hingham,Norfolk
Gomshall,Surrey
Dunure,South Ayrshire
Lower Bayble,Eilean Siar
Thorverton,Devon
Caythorpe,Lincolnshire
Llantysilio,Denbighshire
Haydon Bridge,Northumberland
Heanor,Derbyshire
Anderby,Lincolnshire
Feering,Essex
Kennoway,Fife
Crackenthorpe,Cumbria
Holme upon Spalding Moor,East Riding of Yorkshire
Worfield,Shropshire
Llanbabo,Isle of Anglesey
Gildersome,Leeds
Litlington,Cambridgeshire
Branston,Lincolnshire
Fauld,Staffordshire
Clovenfords,"Scottish Borders, The"
Shenfield,Essex
Tarskavaig,Highland
Alltwalis,Carmarthenshire
Newbiggin,Durham
Sandbach,Cheshire East
Acharra,Highland
West Wittering,West Sussex
Blencogo,Cumbria
Pantglas Hall,Carmarthenshire
Belleek,Fermanagh and Omagh
Bamford,Derbyshire
Chappel,Essex
Martley,Worcestershire
Broxmouth,East Lothian
Ockham,Surrey
Leaton,Shropshire
Broughty Ferry,Dundee City
Danbury,Essex
Woldingham,Surrey
Saxton,North Yorkshire
Roudham,Norfolk
Tarbolton,South Ayrshire
Sollas,Eilean Siar
Frisby on the Wreak,Leicestershire
Brent Eleigh,Suffolk
Swillington,Leeds
Balfron,Stirling
West Langwell,Highland
Bryansford,"Newry, Mourne and Down"
Wiggenhall Saint Germans,Norfolk
Burstock,Dorset
Ruston Parva,East Riding of Yorkshire
Pannal,North Yorkshire
Inverguseran,Highland
Playden,East Sussex
Hebron,Carmarthenshire
Glenbervie,Aberdeenshire
Bridge of Weir,Renfrewshire
Ringland,Norfolk
Ardfin,Argyll and Bute
Cholderton,Wiltshire
Brockley,North Somerset
Sandbank,Argyll and Bute
Low Hutton,North Yorkshire
Ayle,Cumbria
Borve,Highland
Rowley Regis,Sandwell
Lochhead,Argyll and Bute
Clough,"Newry, Mourne and Down"
Brough,Cumbria
Dyffryn,Gwynedd
Weyhill,Hampshire
Cock Bridge,Aberdeenshire
South Thoresby,Lincolnshire
New Cumnock,East Ayrshire
Stanton upon Hine Heath,Shropshire
Madron,Cornwall
Heydon,Cambridgeshire
Saint Helens,Isle of Wight
Lampeter Velfrey,Pembrokeshire
Sulhampstead Abbots,West Berkshire
Ballycarry,Mid and East Antrim
Southrey,Lincolnshire
Baldock,Hertfordshire
Barsby,Leicestershire
Bangor-is-y-coed,Wrexham
Kilmichael Glassary,Argyll and Bute
Roxburgh,"Scottish Borders, The"
Fettercairn,Aberdeenshire
Coulton,North Yorkshire
Brecon,Powys
Ardsley,Barnsley
Freystrop,Pembrokeshire
Orton,Cumbria
Bournemouth,Bournemouth
